componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C17,C17_Table_Cradle,Rotary Table Cradle,2,C03,Rotary Workholding System,63,2635172_KONSOLE,#79695,#79483,DMU50_4843_ASM > 3016797_SRT_SIMULTAN > 2635172_KONSOLE,2,6916,"{""min"":[-0.31599971652030945,0.4739999854564667,-0.08150000357627868],""max"":[0.31599971652030945,1.1060000145435334,0.7600135407447814]}","[0,0.79,0.33925676858425136]","[0.4862541392088052,-0.8615692875320514,-0.14579188895071285]"
C18,C18_Table_Plate,Rotary Table Plate,2,C03,Workholding Interface,68,2596435_TISCHPLATTE,#90282,#90064,DMU50_4843_ASM > 3016797_SRT_SIMULTAN > 2596435_TISCHPLATTE,2,6192,"{""min"":[-0.3149999976158142,0.6240000033378601,0.195],""max"":[0.3149999976158142,0.74,0.6950000000000001]}","[0,0.68200000166893,0.44500000000000006]","[0.35903407910948615,-0.9180198056601615,0.16832755702404323]"
C19,C19_Spindle_Body,Milling Spindle Body,2,C04,Spindle System,80,2709396_FRAESSPINDEL,#105517,#105143,DMU50_4843_ASM > 2850201_SPINDEL_SK40_14K > 2709396_FRAESSPINDEL,2,5396,"{""min"":[-0.09749999940395357,1.09,0.37250000059604643],""max"":[-0.002500000596046499,1.145799998342991,0.46749999940395354]}","[-0.05000000000000003,1.1178999991714955,0.42]","[0.6589240867997906,-0.6856889867858147,0.3092727942055443]"
C20,C20_Magazine_Gear,Magazine Drive Gear,2,C05,Tool-Changing System,86,2612912_GEAR_1,#112093,#111865,DMU50_4843_ASM > 2612912_WZM_30-60 > 2612912_GEAR_1,0,2414,"{""min"":[-0.7599999999999999,1.208299996483326,0.2899000073909759],""max"":[-0.574999997615814,1.7300000136375429,0.7788999999999998]}","[-0.6674999988079069,1.4691500050604345,0.5344000036954879]","[0.21894161401214213,0.6194232746228913,0.7539093954244186]"
C21,C21_Rotary_Gripper,Rotary Tool Gripper,2,C05,Tool-Changing System,87,2612912_ROTATE_GRAB,#114218,#113993,DMU50_4843_ASM > 2612912_WZM_30-60 > 2612912_ROTATE_GRAB,0,536,"{""min"":[-0.685,1.2531160000000001,0.08189999999999985],""max"":[-0.5849999985098838,1.2831159993294479,0.771899997615814]}","[-0.634999999254942,1.268115999664724,0.4268999988079069]","[0.08407751799572884,0.42470533431743146,0.9014190756634768]"
C22,C22_Right_Way_Bellows,Right Guideway Bellows,2,C06,Machine Protection,89,2376252_FALTENBALG,#115855,#115575,DMU50_4843_ASM > 3032368_FUEHRUNGSB-ABD > 2376252_FALTENBALG,0,162,"{""min"":[0.21049999997625127,1.211000000447035,-0.13346707892417903],""max"":[0.6169999883174895,1.8730000195503236,0.06649999994039545]}","[0.41374999414687036,1.5420000099986793,-0.03348353949189179]","[0.6436597461613726,0.5933780847873602,-0.48332657661829603]"
C23,C23_Left_Way_Bellows,Left Guideway Bellows,2,C06,Machine Protection,90,2376253_FALTENBALG,#117262,#116985,DMU50_4843_ASM > 3032368_FUEHRUNGSB-ABD > 2376253_FALTENBALG,0,162,"{""min"":[-0.7669999982118607,1.211000000447035,-0.13346707892417903],""max"":[-0.3104999895095827,1.8730000195503236,0.06649999994039543]}","[-0.5387499938607216,1.5420000099986793,-0.0334835394918918]","[-0.5220068246429522,0.6613209001681551,-0.5386683042717135]"
C24,C24_Work_Enclosure,Main Working Enclosure,2,C07,Operator Protection,102,3021094_KABINE,#191871,#191667,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 3021094_KABINE,9,15205,"{""min"":[-0.7975000143051147,0.22696632385253968,-1.0959999561309814],""max"":[0.7269999980926514,2.078033702969551,1.1684218836098614]}","[-0.03525000810623169,1.1525000134110455,0.036210963739439994]","[0.270471042263252,0.3139077416964297,-0.9101139186937411]"
C25,C25_Front_Door,Front Access Door,3,C24,Access Guard,104,3021101_TUER_VO_KPL,#143747,#143543,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 3021094_KABINE > 3021098_KABINE > 3021101_TUER_VO_KPL,12,1616,"{""min"":[-0.5590000152587891,0.23499999940395355,0.8199999928474426],""max"":[0.616,2.069999933242798,1.090000033378601]}","[0.028499992370605465,1.1524999663233757,0.9550000131130219]","[0.27237946754847386,0.19476982556811687,0.9422707364161189]"
C26,C26_Side_View_Panel,Side Viewing Panel,3,C24,Access Guard,119,3021102_SEITENWAND,#151081,#150880,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 3021094_KABINE > 3021098_KABINE > 3021102_SEITENWAND,6,1012,"{""min"":[0.4930513203144071,0.23499999940395333,0.029999999329447732],""max"":[0.7419999837875363,2.0699999332427974,1.0900000333786006]}","[0.6175256520509718,1.1524999663233753,0.5600000163540242]","[0.9616983009585326,0.15124167184718623,0.22860956810759148]"
C27,C27_ATC_Enclosure,Tool-Magazine Enclosure,2,C07,Machine Protection,143,2994600_ZBS,#226296,#225925,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 2994600_ZBS,7,1406,"{""min"":[-1.4549999994635583,0.28,-0.6499999761581421],""max"":[-0.527,2.009999990463257,0.9900000095367432]}","[-0.9909999997317791,1.1449999952316285,0.17000001668930054]","[-0.9632179768479019,0.12556127191757604,-0.237582608941554]"
C28,C28_ATC_Access_Door,Tool-Magazine Access Door,3,C27,Access Guard,151,2994823_TUER_WZW_KPL,#216784,#216583,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 2994600_ZBS > 2994816_ABDECKUNG > 2994823_TUER_WZW_KPL,20,10442,"{""min"":[-1.4549999704360963,1.1214999961853027,0.6090000021457672],""max"":[-0.9000000219345093,1.792999963760376,0.9900000143051148]}","[-1.1774999961853028,1.4572499799728393,0.799500008225441]","[-0.8677046370896386,0.3533624618629126,0.3496049675266645]"
C29,C29_Side_Service_Door,Side Service Door,3,C27,Access Guard,180,2586948_TUER_KPLT,#225896,#225695,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 2994600_ZBS > 2586948_TUER_KPLT,6,476,"{""min"":[-1.4549999999999994,0.159999976158142,-1.0959999785423282],""max"":[-1.435000000447034,0.7599999999999999,-0.13600000000000056]}","[-1.4450000002235166,0.45999998807907094,-0.6159999892711644]","[-0.7509034898027509,-0.32952453188897113,-0.5723264207472903]"
C30,C30_Coolant_Catch_Pan,Enclosure Catch Pan,2,C07,Coolant Containment,192,2994606_KPLNG,#236327,#235956,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 2994606_KPLNG,5,236,"{""min"":[-1.3920000050067902,0.38680000000000003,-0.02999998807907056],""max"":[-0.6249999804496766,1.3058000295639038,0.7950000000000003]}","[-1.0084999927282334,0.8463000147819519,0.38250000596046485]","[-0.9776105866512071,-0.21041035550415552,0.0022412416418667526]"
C31,C31_Rear_Service_Hsg,Rear Service Housing,2,C07,Service Enclosure,201,2889519_GEHAEUSE,#238519,#238318,DMU50_4843_ASM > 4843_KABINE_30-60WZ > 2889519_GEHAEUSE,3,116,"{""min"":[-0.8019999713897705,0.167,-1.0960000007599593],""max"":[0.728,1.1069999976158142,-0.5760000000000001]}","[-0.03699998569488527,0.6369999988079071,-0.8360000003799797]","[0.07835380963722159,-0.3091126399997347,-0.9477922010165142]"
C32,C32_Support_Arm,Pivoting Support Arm,2,C10,Coolant Delivery,228,2603326_AUSLEGEARM,#255429,#254995,DMU50_4843_ASM > 2590726_KS-BEH_ZEI > 2572244_BETT > 3034510_ABT > 2603326_AUSLEGEARM,2,6432,"{""min"":[0.5461228390038013,0.04212830713213528,0.7389999716486789],""max"":[0.6438771609961986,1.0363923768950796,1.4248967685179945]}","[0.595,0.5392603420136074,1.0819483700833368]","[0.6492313532903214,-0.43823665214005386,0.621648845109436]"
C33,C33_Lower_Vessel_Shell,Lower Coolant Vessel Shell,2,C10,Coolant Containment,243,2912561_UNTERSCHALE-VEREINF,#275229,#274822,DMU50_4843_ASM > 2590726_KS-BEH_ZEI > 2912561_UNTERSCHALE-VEREINF,0,868,"{""min"":[0.6547058519722302,0.9210446435625992,1.3244486435191474],""max"":[1.1447058615089751,1.1863238582317925,1.8570066663303126]}","[0.8997058567406027,1.053684250897196,1.59072765492473]","[0.6507183583771365,0.012505455270907089,0.7592161955987451]"
C34,C34_Upper_Vessel_Shell,Upper Coolant Vessel Shell,2,C10,Coolant Containment,244,2917630_OBERSCHALE-VEREINFACHT,#276676,#276251,DMU50_4843_ASM > 2590726_KS-BEH_ZEI > 2917630_OBERSCHALE-VEREINFACHT,0,328,"{""min"":[0.6199361490249634,1.0864078433896287,1.317049735765919],""max"":[1.1798638509750368,1.5841710597545409,1.4844754795707056]}","[0.8999000000000001,1.3352894515720848,1.4007626076683124]","[0.6981617175815743,0.2029202654480751,0.6865810818643557]"
C35,C35_Coolant_Elbow,Coolant Vessel Elbow Joint,2,C10,Coolant Delivery,245,2931353_L-GELENK,#287374,#286900,DMU50_4843_ASM > 2590726_KS-BEH_ZEI > 2931353_L-GELENK,2,7446,"{""min"":[0.536410323466748,0.9713923767865644,1.3244431344125396],""max"":[0.6718631453175247,1.186304369331804,1.4243171242330197]}","[0.6041367343921363,1.0788483730591842,1.3743801293227795]","[0.5976922926165754,0.036341882759284655,0.8009014863915863]"
C36,C36_DS04_Aux_Module,DS04 Auxiliary Module,2,C11,Machine Auxiliary,253,DS04BD0FC642,#432180,#431848,DMU50_4843_ASM > 3755454 > 2831032_3707180 > DS04BD0FC642,102,136164,"{""min"":[-0.7139750057697296,0.7285000002013148,0.19375],""max"":[-0.3036964619398117,0.8237499981188775,0.25625]}","[-0.5088357338547707,0.7761249991600961,0.22499999999999998]","[-0.7768676627993262,-0.5390734657658756,-0.3253865900799847]"
C37,C37_Spray_Unit,Spray Unit,2,C01,Coolant Delivery,28,3223650_SPISTO,#49560,#49321,DMU50_4843_ASM > 2627893_GRUNDMASCHINE > 3223650_SPISTO,0,1934,"{""min"":[-0.18799999654293065,1.225,0.17200000065565108],""max"":[0.13000000715255733,2.1105000138282777,0.5660000019073486]}","[-0.02899999469518666,1.6677500069141389,0.3690000012814998]","[0.16875919793722127,0.9854951077024376,-0.01788087822637542]"
C38,C38_Machine_Bed_Body,Machine Bed Body,2,C02,Machine Structure,43,2572244_BETT_01,#57619,#57423,DMU50_4843_ASM > 2572244_BETT > 2572244_BETT_01,0,672,"{""min"":[-0.7450000166893005,0.019999999552965164,-0.7065000059604645],""max"":[0.5950000166893006,0.41999998688697815,0.8935000476837158]}","[-0.07499999999999996,0.21999999321997166,0.09350002086162568]","[0.07232099034560457,-0.9405944910349721,-0.33174037708740356]"
C39,C39_Spindle_Mount_Flange,Spindle Mounting Flange,2,C04,Spindle System,78,2849731_FLANSCH,#97240,#96812,DMU50_4843_ASM > 2850201_SPINDEL_SK40_14K > 2849731_FLANSCH,0,3606,"{""min"":[-0.175,1.1148000032901764,0.29524665892124174],""max"":[0.07499999999999997,1.3291999967098236,0.5447533410787582]}","[-0.05000000000000001,1.222,0.41999999999999993]","[0.8907285677082125,-0.41433946720016074,0.18688345188582958]"
C40,C40_Coolant_Support_Profile,Coolant Support Profile,2,C10,Coolant Delivery,239,2603337_PROFIL_1,#272040,#271649,DMU50_4843_ASM > 2590726_KS-BEH_ZEI > 2603337_PROFIL_1,0,4304,"{""min"":[0.5549066617131233,0.06299997631922127,0.7389999837323699],""max"":[0.6348908721446992,0.8689360996732793,1.3854737500114378]}","[0.5948987669289112,0.4659680379962503,1.0622368668719038]","[0.6366522433200893,-0.4935099157873868,0.5925553848333709]"
C41,C41_Auxiliary_Pipe,Auxiliary Pipe,2,C11,Machine Auxiliary,251,2644101_ROHR,#292923,#292692,DMU50_4843_ASM > 3755454 > 2644101_ROHR,0,5824,"{""min"":[-0.7554260019073487,0.7075908720970153,0.025499996380529202],""max"":[-0.3564493033895493,0.8508014321804046,0.19594175054284074]}","[-0.555937652648449,0.77919615213871,0.11072087346168497]","[-0.7482665540294164,-0.45527722443858565,-0.4825140547470509]"
