componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C20,C20_4037289_Detail,Guideway Interface Plate,3,C19,Technical Interface,79,4037289_1,#123437,#120335,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4040070 > 4037289 > 4037289_1,1,340,"{""min"":[-0.365,-0.6043641658801,-0.019586856152991643],""max"":[-0.04550000071525573,-0.555573799529759,0.029203510197349233]}","[-0.20525000035762786,-0.5799689827049295,0.004808327022178795]","[-0.7261623023499173,-0.5869810626388892,0.3579686337504836]"
C21,C21_MK4_Live_Center,Live Center,2,C02,Work Support,88,AG_2933969_LIVE_CENTER_MK4,#144207,#143291,SA0138_ASM > 4246339_ASM_1 > 4061476 > AG_2933969_LIVE_CENTER_MK4,0,748,"{""min"":[0.7149999999999982,-0.03750000149011612,-0.03750000149011612],""max"":[0.9129999989271164,0.03750000149011612,0.03750000149011612]}","[0.8139999994635573,0,0]","[0.7754985790897032,0.13743516883581613,0.6162089971729736]"
C22,C22_4015515_Unit,12-Station Tool Turret Module,2,C03,Tooling,99,4015515,#1939423,#1938975,SA0138_ASM > 4246339_ASM_1 > 4218037 > 4015515,615,673333,"{""min"":[0.5295000022649765,0.11432333480444926,-0.4824409113438066],""max"":[0.9799999988079071,0.4546541948119307,-0.11432333480444926]}","[0.7547500005364418,0.28448876480818996,-0.2983821230741279]","[0.6797570552825914,0.7332131577837779,0.018133147721255495]"
C23,C23_4008825_Part,Tool Turret Interface Plate,2,C03,Technical Interface,716,4008825,#1945645,#1940440,SA0138_ASM > 4246339_ASM_1 > 4218037 > 4008825,2,604,"{""min"":[0.992,0.13753226909878521,-0.32420845901601475],""max"":[1.042000000745058,0.1658165397140444,-0.29592418840075563]}","[1.017000000372529,0.1516744044064148,-0.31006632370838516]","[0.9367840123944653,0.34987665058035605,-0.004695050670391247]"
C24,C24_4209034_Fluid_Group,Primary Heavy-Duty Electrical Connector Assembly,2,C03,Electrical Connection,815,4209034,#2214441,#2214000,SA0138_ASM > 4246339_ASM_1 > 4218037 > 4209034,31,89241,"{""min"":[0.9909999974966048,0.34003967234125687,-0.4172716903095432],""max"":[1.0916000016927718,0.4806246977106524,-0.2766866649401476]}","[1.0412999995946883,0.41033218502595464,-0.3469791776248454]","[0.7874303004026004,0.6142782080383988,-0.051144942438175]"
C26,C26_4211180_Package,Secondary Heavy-Duty Electrical Connector Assembly,2,C03,Electrical Connection,913,4211180,#2426377,#2425936,SA0138_ASM > 4246339_ASM_1 > 4218037 > 4211180,26,55523,"{""min"":[1.061599998652935,0.34216645066570517,-0.41514491198509484],""max"":[1.1507752851187085,0.4579007843913941,-0.2994163747681652]}","[1.1061876418858216,0.4000336175285496,-0.35728064337663]","[0.8214282262219643,0.5670702951061796,-0.06072025670258378]"
C27,C27_Filter,Filtration Unit,2,C05,Fluid Conditioning,969,AG_044__41_FILTER,#2450463,#2449479,SA0138_ASM > 4246339_ASM_1 > 4037047 > 4084931 > AG_044__41_FILTER,0,716,"{""min"":[-0.795,-0.5377500008046627,-1.1603499985694885],""max"":[-0.67,-0.2997499990463257,-1.0073500014305115]}","[-0.7325,-0.4187499999254942,-1.08385]","[-0.8059443297474672,-0.243349205203079,-0.5396618401137289]"
C28,C28_X_Wiper,X-Axis Wiper,2,C06,Machine Protection,992,044__32_WIPER_X__V4,#2483529,#2482519,SA0138_ASM > 4246339_ASM_1 > 4247587 > 044__32_WIPER_X__V4,0,44,"{""min"":[0.7845000033378601,0.17999999999999994,-0.5020000000000001],""max"":[1.20399999666214,0.5159999954700469,-0.49599999994784594]}","[0.9942500000000001,0.34799999773502344,-0.498999999973923]","[0.7773948336492291,0.57129594613655,-0.26320755031615606]"
C29,C29_4028242_End_Support,Rail-End Support,2,C07,Machine Structure,1065,4028242,#2559610,#2559166,SA0138_ASM > 4246339_ASM_1 > 4061823 > 4028242,2,148,"{""min"":[-0.044500026226043654,-0.5894724977426541,-0.18230627099986096],""max"":[0.8655,-0.2917805414828083,0.04821054040847464]}","[0.4104999868869782,-0.4406265196127312,-0.06704786529569316]","[-0.038359916144512986,-0.8396988745652159,0.5416957789085086]"
C30,C30_4025453_Segments,Rail Segment Assembly,2,C07,Machine Structure,1068,4025453,#2587245,#2586804,SA0138_ASM > 4246339_ASM_1 > 4061823 > 4025453,15,632,"{""min"":[1.0915000006705522,-0.5908867089699015,-0.18725601610795017],""max"":[1.556000000026077,-0.28895211350466143,0.07154506345663941]}","[1.3237500003483147,-0.43991941123728145,-0.05785547632565538]","[0.8947534347954398,-0.37080302019246364,0.24884013168681218]"
